id,store_name,store_email,department,income,date_measured,country
1,"Cullen/Frost Bankers, Inc.",,Clothing,$54438554.24,4-2-2006,other
2,Nordson Corporation,,Tools,$41744177.01,4-1-2006,other
3,"Stag Industrial, Inc.",,Beauty,$36152340.34,12-9-2003,united states
4,FIRST REPUBLIC BANK,ecanadine3@fc2.com,Automotive,$8928350.04,8-5-2006,other
5,Mercantile Bank Corporation,,Baby,$33552742.32,21-1-1973,other
6,"Auburn National Bancorporation, Inc.",ccaldeyroux5@dion.ne.jp,Grocery,$69798987.04,19-9-1999,other
7,"Interlink Electronics, Inc.",orodenborch6@skyrock.com,Garden,$22521052.79,8-6-2001,other
8,"Tallgrass Energy Partners, LP",,Grocery,$54405380.40,16-9-1992,other
9,Tronox Limited,,Outdoors,$99290004.13,11-1-1992,other
11,"Hercules Capital, Inc.",,Beauty,$91009365.11,12-2-1994,other
14,"Copart, Inc.",,Kids,$54371540.24,14-2-2005,other
15,"Autoliv, Inc.",,Music,$25747934.59,15-1-1986,other
17,First Financial Corporation Indiana,,Electronics,$26955392.71,20-8-2007,other
18,Royal Bank Scotland plc (The),clernihanh@google.cn,Music,$2290913.13,22-11-2002,other
22,PowerShares S&P SmallCap Energy Portfolio,,Kids,$93408516.83,6-8-1998,other
26,Canadian Imperial Bank of Commerce,izanetellop@intel.com,Toys,$76415622.90,11-4-2006,other
27,Black Hills Corporation,,Garden,$62498022.77,25-12-1969,other
31,Ferroglobe PLC,volderu@yolasite.com,Outdoors,$17091915.76,23-2-1995,other
32,Gladstone Commercial Corporation,,Jewelry,$35560625.69,17-3-1989,other
34,American Outdoor Brands Corporation,,Toys,$3505941.60,9-9-1994,other
38,AllianzGI Convertible & Income Fund II,zattenborough11@zdnet.com,Games,$75932149.61,21-6-2007,other
39,"Mueller Industries, Inc.",,Movies,$43762308.69,23-9-2006,other
40,First Potomac Realty Trust,bglossup13@usnews.com,Tools,$5665154.91,22-4-1997,other
42,"Ebix, Inc.",vsprigin15@hatena.ne.jp,Garden,$86041109.50,16-8-1994,other
46,SeaSpine Holdings Corporation,lwermerling19@icq.com,Health,$72510893.34,16-2-1995,other
47,"Banco Latinoamericano de Comercio Exterior, S.A.",,Music,$57576442.70,12-9-2006,other
62,"Alliance Holdings GP, L.P.",,Home,$59015579.18,4-3-1985,other
64,"Cedar Realty Trust, Inc.",,Baby,$12463300.46,21-9-1990,other
69,TransCanada Corporation,cdufaur1w@webs.com,Jewelry,$7246755.41,18-10-2006,other
70,Amarin Corporation plc,djura1x@amazon.de,,$67286696.47,13-3-1993,other
104,"Owens & Minor, Inc.",rshevell2v@odnoklassniki.ru,Outdoors,$14901499.68,26-9-2010,other
111,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,rfilyakov32@springer.com,Toys,$24433244.97,20-8-1986,other
119,Lloyds Banking Group Plc,abaskerville3a@jigsy.com,Jewelry,$27477323.90,11-6-1996,other
151,"Assurant, Inc.",sbare46@netscape.com,Electronics,$48527857.37,6-4-1990,other
165,"Home Bancorp, Inc.",,Outdoors,$90098060.11,21-6-1978,other
174,Illinois Tool Works Inc.,vmcillroy4t@hatena.ne.jp,Sports,$17114493.35,7-5-2007,other
210,"Avid Technology, Inc.",ntuckley5t@earthlink.net,Baby,$52155716.33,11-2-2002,other
